,City,Var,Phase,Period,Dtype,End,Start,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
36,DENVER,TMAX,4,0,0,200503,195005,1,44.08545454545454,45.300271745161574,-1.2148171997070314,4.750570040616123,5.197165116919535,3.3371456024703345,5.993506013776512,3.7999189944879914,0.9140694847563129,1
37,DENVER,TMAX,4,0,0,200503,195005,1,46.92545454545455,47.108791004527696,-0.1833364590731529,5.339848272150214,5.341667730345471,3.910350647401114,6.659400590850736,3.9166101041046777,0.9996593838690263,2
38,DENVER,TMAX,4,0,0,200503,195005,1,52.5418181818182,51.70961574207653,0.8322024397416545,4.186826796098189,4.817241061833158,3.907328599959847,5.323131232240484,3.344693241914769,0.8691337515305761,3
39,DENVER,TMAX,4,0,0,200503,195005,1,61.33148148148149,60.21999097753454,1.1114905039469405,4.916015441329392,4.426499280131996,4.320242628654483,5.743251079167636,3.101686778238132,1.1105876518255753,4
40,DENVER,TMAX,4,0,0,200503,195005,1,70.83272727272728,73.45542158647017,-2.6226943137428975,5.372472478693181,3.8169725518111166,4.994921085646513,6.16894679762422,3.957757078662293,1.40752190532363,5
41,DENVER,TMAX,4,0,0,200503,195005,1,81.64545454545453,83.2242505160245,-1.578795970569957,4.362844266024502,4.094703814270249,4.2203842258903945,5.06475613950604,2.9670880510179245,1.0654847002168435,6
42,DENVER,TMAX,4,0,0,200503,195005,1,88.09636363636366,85.5631285233931,2.5332351129705257,3.6042952936345882,2.594078987086901,3.2200830160128278,3.9844382149483564,3.0299090640151864,1.3894315907790225,7
43,DENVER,TMAX,4,0,0,200503,195005,1,85.86727272727272,80.89124492298473,4.976027804287998,5.167058299671519,2.4203653340287996,3.8089669177200087,4.68272196552253,4.467030786094088,2.1348257748638026,8
44,DENVER,TMAX,4,0,0,200503,195005,1,77.51818181818182,72.38570431795988,5.132477500221948,6.011802950772372,3.4805858866688117,4.439233147337664,5.64543677398189,4.678678836453808,1.7272387886759288,9
45,DENVER,TMAX,4,0,0,200503,195005,1,66.39272727272729,62.369035616788,4.023691655939276,7.187680220170457,4.436125041881191,4.917790497200029,7.903589056932425,5.131974922487269,1.6202609602551774,10
