,City,Var,Phase,Period,Dtype,End,Start,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
16,DENVER,TMIN,0,35,0,201812,200802,2,42.56363636363637,41.8337235884233,0.7299127752130677,2.3399459838867185,2.2588814609327006,2.370364235656867,2.7872851087562855,1.52713007782486,1.0358870194634056,5
17,DENVER,TMIN,0,35,0,201812,200802,2,54.027272727272724,50.81806668368253,3.2092060435901986,3.418893987482244,2.498435874338545,2.4995610698043107,3.3752985294287567,3.1406725758338627,1.368413743413522,6
18,DENVER,TMIN,0,35,0,201812,200802,2,59.71818181818182,58.26593086936257,1.452250948819247,1.9424116654829549,1.807660466911959,0.6445895185575067,1.8824234406432445,1.3088906463259262,1.0745445292617326,7
19,DENVER,TMIN,0,35,0,201812,200802,2,57.05454545454547,57.65443836558949,-0.599892911044034,0.8878240411931823,1.3801185719811437,1.0310673187201322,1.0331410499177132,0.7721297839647139,0.643295481430064,8
20,DENVER,TMIN,0,35,0,201812,200802,2,49.67272727272727,48.38557017933238,1.2871570933948868,1.8769472989169032,2.2548130339746164,1.7611282223097617,2.448674053901802,1.9857570507072941,0.832418152031151,9
21,DENVER,TMIN,0,35,0,201812,200802,2,36.75454545454546,37.04039348255504,-0.28584802800958803,3.46398828679865,3.5092345707756922,2.167523023227148,4.8171493925601165,3.177368713052499,0.9871065091077565,10
22,DENVER,TMIN,0,35,0,201812,200802,2,26.900000000000002,27.542083566839043,-0.6420835668390442,3.165393031727184,2.589208373229161,2.2643763960102743,3.9951494241599534,2.322290466115968,1.2225331357859883,11
23,DENVER,TMIN,0,35,0,201812,200802,2,16.472727272727273,20.024803681807086,-3.5520764090798114,3.580304752696644,3.309408076708253,1.1218972647000918,3.080443350273407,3.0442835606064556,1.081856534373918,12
24,DENVER,TMIN,0,36,0,201812,200803,2,18.340000000000003,18.120806312561037,0.21919368743896506,2.0944337844848637,2.226706586468505,1.6074015676416344,2.8631550394584533,1.8376567497767993,0.9405971119915614,1
25,DENVER,TMIN,0,36,0,201812,200803,2,19.15,20.823108673095703,-1.6731086730957032,3.052887954711914,4.50586038152291,2.7269366295425925,3.7202389715394766,2.5680359924762133,0.6775371840705117,2
26,DENVER,TMIN,0,36,0,201812,200803,2,28.08181818181818,27.07140974564986,1.0104084361683234,1.5687104658647015,2.6003146662733645,1.9195914091184567,2.481162006168929,2.1382808167402976,0.6032771672641049,3
27,DENVER,TMIN,0,36,0,201812,200803,2,33.6,33.38856055519798,0.21143944480202428,3.2568757490678277,2.668707552355633,3.2189103000940635,3.9267515220240465,1.949510504989763,1.2203943988516188,4
28,DENVER,TMIN,0,36,0,201812,200803,2,42.56363636363637,43.047155206853695,-0.4835188432173299,2.356819152832031,2.2588814609327006,2.5746162267496104,3.0080232322871128,1.7875449963087302,1.0433567203915568,5
29,DENVER,TMIN,0,36,0,201812,200803,2,54.027272727272724,52.9558500810103,1.0714226462624288,2.6945025357333106,2.498435874338545,2.450154113932308,3.264863133270312,1.9838583891052959,1.0784757629397528,6
30,DENVER,TMIN,0,36,0,201812,200803,2,59.71818181818182,58.82176694003019,0.8964148781516333,1.842617104270242,1.807660466911959,1.2598634361491718,2.2769327883460426,1.5276049710412296,1.0193380549047464,7
31,DENVER,TMIN,0,36,0,201812,200803,2,57.05454545454547,58.547053597190164,-1.4925081426447087,1.9422323747114705,1.3801185719811437,1.7883236363426884,1.8953356310100888,1.3759151530919893,1.4072938471680871,8
32,DENVER,TMIN,0,36,0,201812,200803,2,49.67272727272727,51.86037757179954,-2.1876502990722653,4.229402230002663,2.2548130339746164,3.978264599918015,4.814719850214499,2.9612995297195033,1.8757219185252745,9
33,DENVER,TMIN,0,36,0,201812,200803,2,36.75454545454546,38.84508167613637,-2.090536221590909,4.323842828924005,3.5092345707756922,2.5819884922356957,5.215403043505074,3.382695120640145,1.2321327462496328,10
34,DENVER,TMIN,0,36,0,201812,200803,2,26.900000000000002,26.918088045987215,-0.018088045987215393,2.1131921248002485,2.589208373229161,1.4720028207549842,2.6622565917179344,1.4750698299892189,0.816153750563056,11
35,DENVER,TMIN,0,36,0,201812,200803,2,16.472727272727273,19.810409892689098,-3.337682619961825,3.709559076482599,3.309408076708253,1.8352511744477755,3.310947949437526,2.842464199692485,1.1209131634719287,12
