,City,Var,Period,Phase,D-Type,T-Type,Start,End,Train Winter,Train Spring,Train Summer,Train Fall,Train R2,Test Winter,Test Spring,Test Summer,Test Fall,Test R2,Layers,First_neuron,FB
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7244616154415003,0.6424549306244359,0.682608881383561,0.7192743328357,0.9684457947793037,1.0722643047397822,1.0637923282525745,1.1593835501611593,1.2243523341276983,0.9271162610360928,8,50,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6879183199424123,0.6133538884385757,0.6038744159890763,0.7671844228596559,0.969208175172095,1.1373131604162983,1.0525075358285938,1.5009801609218651,1.2780558624555294,0.9165630002743457,10,50,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6656239075223073,0.6611134856094848,0.6273821559822864,0.7733502485714893,0.9703091218548419,1.1944456799958687,0.9286287829262271,1.5442565642592812,1.4023927134668746,0.9115433570380782,1,75,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7122635015824706,0.6249220490487921,0.6047648474669362,0.7120540359636042,0.9715768745795381,1.3173818962161792,0.8886764996622056,1.495882904090646,1.7062976302062192,0.9102773235093338,2,75,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7220535783432057,0.6693749321447763,0.5895048178784564,0.6856183478471595,0.9688491611358159,0.992841730222861,0.9962426911266228,1.229827425025481,1.1850141524286073,0.9304999226426166,4,75,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6978462742941085,0.6993292867429424,0.6239505647381689,0.7593577044975865,0.9676532429003776,1.244771803352674,0.920771998050722,1.2842591270495307,1.400664468972459,0.9179852990643612,6,75,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7529243713955944,0.6885575409040476,0.599911476569097,0.8055830871018287,0.9663665871608463,1.311108470427017,0.9832370001091689,1.1477520415492772,1.3724005011522482,0.9206834543287885,8,75,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7082493181730815,0.6525040872378575,0.6100648139797683,0.7433693350472165,0.968809871946135,1.1359716313968702,0.958785682353306,1.2622872909917728,1.2412238046861974,0.9285506825994543,10,75,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7376350766468769,0.6625619137309213,0.5587783544068595,0.681536468846668,0.9707969979096871,0.9577899789626958,0.813252294557946,1.5047739372709759,1.4291324552527656,0.9223144223724448,1,100,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7154697924662283,0.6723469865424515,0.7916288935553727,0.9618957448293833,0.9637861386584453,1.0834360799440967,0.8532505486745334,1.1458562334515268,1.211702016682671,0.9352356021067113,2,100,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6977227915685456,0.7488569721618505,0.6737283482011828,0.8041284419632232,0.9638378760173331,0.8944627471720112,1.1791108194243198,1.2641438607220081,1.2117716676567554,0.9254275180036878,4,100,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6647098811637544,0.6571076350254224,0.6005416855836251,0.6565556212939169,0.969704585743123,1.1370722164471385,0.9427442196508539,1.1379587300090857,1.1830890051699123,0.9305526735372524,6,100,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6168074126254013,0.5783298371946485,0.6008732033881468,0.6968557638749872,0.9718665438891796,1.001582778380736,1.0152077137989421,1.1958580692832785,1.16944625503265,0.9313104391975766,8,100,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.6682908520595872,0.6216764709398778,0.6012632085927826,0.7547848993128285,0.9694298312032178,0.956679111653559,0.9772181634139455,1.3716413490839798,1.1754822568621044,0.927469152031417,10,100,2
0,DENVER,TMIN,24,0,0,1,195201,200502,0.7040050506237993,0.7804025711016346,0.699652433345471,0.8943794387090024,0.96365865350621,1.53526184103319,0.9395449831168086,1.4416662906084037,1.2623745047161785,0.9046139439071396,1,150,2
