,City,Var,Phase,Period,Dtype,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
20,DENVER,TMIN,0,1,0,1,48.16981132075472,48.646781777435876,-0.4769704566811613,5.615204260484227,2.694623200836205,6.319903537332585,7.023464033597029,4.174212242337317,2.0838550854686093,9
21,DENVER,TMIN,0,1,0,1,36.78867924528302,37.4946145831414,-0.7059353378583799,6.0358352805083655,2.6225838974156837,7.273673701705141,7.2272674455418375,3.9508750146256055,2.301484153264316,10
22,DENVER,TMIN,0,1,0,1,25.269811320754723,28.61441396317392,-3.3446026424192024,5.937967142069114,2.9116863277846114,6.779850628387173,7.599738491686764,5.763678878781011,2.039356741626452,11
23,DENVER,TMIN,0,1,0,1,18.500000000000004,20.92117644256016,-2.42117644256016,4.38525028588637,4.03108116819984,2.9985900073089478,4.97418983470179,3.3342400394108602,1.087859584788438,12
24,DENVER,TMIN,0,2,0,1,17.16792452830189,18.50428692799694,-1.3363623996950549,3.276403247185473,4.606131932414645,2.4128779078073057,4.493245001949247,3.326890681671425,0.7113133742714799,1
25,DENVER,TMIN,0,2,0,1,20.54716981132076,20.854087397737324,-0.30691758641656824,3.1649153799380905,3.94157347405561,2.4978313314097016,4.193090869426632,2.732892780216148,0.8029573470519652,2
26,DENVER,TMIN,0,2,0,1,25.929629629629623,27.077063419200755,-1.1474337895711262,3.06075127919515,3.2571332243814766,2.80311003006979,3.869440762570266,2.601741888378149,0.939707119218736,3
27,DENVER,TMIN,0,2,0,1,34.41666666666666,37.28277252338551,-2.8661058567188404,4.615485459786874,3.02329009836435,4.328879808634649,5.172583537205697,3.6634043051203538,1.5266432626772828,4
28,DENVER,TMIN,0,2,0,1,44.06481481481481,47.5593133855749,-3.4944985707600904,4.67423552053946,2.377659972786579,4.339425489028572,4.6630063700092705,3.4532363922341154,1.9658973839986598,5
29,DENVER,TMIN,0,2,0,1,52.91666666666665,54.014961030748154,-1.0982943640814877,3.5058073114465773,2.6827013983022465,3.566669027021474,4.128084894938033,2.397396553221027,1.306819802481646,6
30,DENVER,TMIN,0,2,0,1,59.02037037037036,56.230584462483726,2.789785907886647,3.630366035743996,2.073951622371099,2.847630877596266,3.66564541993008,2.817530936422834,1.7504583986358784,7
31,DENVER,TMIN,0,2,0,1,57.41698113207547,56.30682200305867,1.1101591290168042,2.4351039958450023,1.910168724832826,2.664483476251147,2.9338061227584222,1.9543817217789963,1.2748109442835305,8
32,DENVER,TMIN,0,2,0,1,48.16981132075472,50.819230133632445,-2.6494188128777276,4.401118094966097,2.694623200836205,4.637312066636542,5.167756726897799,3.757363578788849,1.633296296714259,9
33,DENVER,TMIN,0,2,0,1,36.78867924528302,36.70733145947726,0.08134778580575627,4.904480455506524,2.6225838974156837,6.25908612956819,6.366355589262992,4.002589677049526,1.870094779556696,10
34,DENVER,TMIN,0,2,0,1,25.269811320754723,25.886126716181916,-0.6163153954272,3.430662183941535,2.9116863277846114,3.955259442255462,5.044636273237303,3.720178226645161,1.178238930205024,11
35,DENVER,TMIN,0,2,0,1,18.500000000000004,20.475372602354806,-1.9753726023548048,4.012674885875775,4.03108116819984,2.514800322738232,4.796999532433122,3.2522510109611495,0.9954339092774247,12
36,DENVER,TMIN,0,3,0,1,17.16792452830189,17.38920722817475,-0.22128269987286264,3.2203889666863215,4.606131932414645,2.1848371520313785,4.409447855001159,2.9871043661610295,0.6991525674771796,1
37,DENVER,TMIN,0,3,0,1,20.54716981132076,20.42803310898115,0.11913670233960429,3.0340155763446153,3.94157347405561,2.2833240338061134,4.066241976357884,2.6770348804568314,0.7697473093715593,2
38,DENVER,TMIN,0,3,0,1,25.96981132075471,26.978369119032372,-1.0085577982776568,2.4969604708113757,3.274762757446969,2.411311525371702,3.205121386486434,2.2259473135156984,0.7624859129514547,3
